Id,Pred
2016_1112_1114,0.9404723732632838
2016_1112_1122,0.9412830310969472
2016_1112_1124,0.6808070734019076
2016_1112_1138,0.8921327617441205
2016_1112_1139,0.7355401847483043
2016_1112_1143,0.7014273163647734
2016_1112_1151,0.9653444251288845
2016_1112_1153,0.649814640911921
2016_1112_1160,0.7812348311950641
2016_1112_1163,0.568604183416842
2016_1112_1167,0.9962363951197513
2016_1112_1173,0.8229693753888178
2016_1112_1181,0.4342973546288132
2016_1112_1192,0.9758974269559566
2016_1112_1195,0.9835811376920072
2016_1112_1201,0.8953884679791242
2016_1112_1211,0.4715074520339612
2016_1112_1214,0.9776773704016153
2016_1112_1218,0.8023318647490449
2016_1112_1221,0.9396050558880937
2016_1112_1231,0.7576544278964181
2016_1112_1233,0.8716642145504343
2016_1112_1234,0.8006881361448812
2016_1112_1235,0.6987862508027898
2016_1112_1242,0.3637261854755794
2016_1112_1246,0.5114850728735391
2016_1112_1268,0.7006474909550264
2016_1112_1274,0.6398342439740508
2016_1112_1276,0.8149496117896814
2016_1112_1277,0.547466485862014
2016_1112_1292,0.8845442488263044
2016_1112_1314,0.468094087258791
2016_1112_1320,0.6914636535683147
2016_1112_1323,0.5608534404168914
2016_1112_1328,0.6767845446748478
2016_1112_1332,0.6293045871793106
2016_1112_1333,0.8394022623838784
2016_1112_1338,0.4954151943944012
2016_1112_1344,0.7902853590369395
2016_1112_1345,0.7598531927090793
2016_1112_1355,0.9150563431225783
2016_1112_1371,0.8117942722645789
2016_1112_1372,0.8879212579724194
2016_1112_1380,0.9852211686037967
2016_1112_1386,0.8094569080679654
2016_1112_1392,0.9018272641790434
2016_1112_1393,0.5199697949122142
2016_1112_1396,0.7293495378856363
2016_1112_1400,0.6374746316084954
2016_1112_1401,0.7083115575891267
2016_1112_1403,0.8337907289479909
2016_1112_1409,0.8150915453694476
2016_1112_1421,0.9622410287163086
2016_1112_1423,0.9381910531419735
2016_1112_1425,0.7916692549907244
2016_1112_1428,0.7722118661591784
2016_1112_1433,0.682020889350238
2016_1112_1435,0.7362369062042615
2016_1112_1437,0.5202301056175919
2016_1112_1438,0.5205748749172285
2016_1112_1451,0.8610454535434262
2016_1112_1452,0.6545935056403515
2016_1112_1453,0.9384631586240766
2016_1112_1455,0.6658001551029864
2016_1112_1458,0.5960521801501638
2016_1112_1462,0.6961453571440164
2016_1112_1463,0.8591542490889545
2016_1114_1122,0.5163684555827001
2016_1114_1124,0.13574929186962684
2016_1114_1138,0.37746502979742386
2016_1114_1139,0.17429019609210694
2016_1114_1143,0.14880211177494043
2016_1114_1151,0.6283131884471218
2016_1114_1153,0.11861644882576806
2016_1114_1160,0.21227188610634695
2016_1114_1163,0.08219111717366866
2016_1114_1167,0.8813880806610134
2016_1114_1173,0.25877095371878295
2016_1114_1181,0.042638013134823266
2016_1114_1192,0.6691374038862659
2016_1114_1195,0.7350245715918632
2016_1114_1201,0.3793275569188401
2016_1114_1211,0.053293191024605065
2016_1114_1214,0.6871345380751195
2016_1114_1218,0.24172911645277723
2016_1114_1221,0.5016385785453421
2016_1114_1231,0.19087501719143737
2016_1114_1233,0.3415947275872659
2016_1114_1234,0.2319776902246058
2016_1114_1235,0.14689951250077984
2016_1114_1242,0.028712238771244042
2016_1114_1246,0.0636291313015277
2016_1114_1268,0.14849418565204814
2016_1114_1274,0.11394726034028674
2016_1114_1276,0.24809233109591505
2016_1114_1277,0.07450725897171659
2016_1114_1292,0.3603800784272611
2016_1114_1314,0.05076257698788422
2016_1114_1320,0.14449181046438203
2016_1114_1323,0.07931096609942005
2016_1114_1328,0.13328701203230608
2016_1114_1332,0.10827142370812075
2016_1114_1333,0.27900038308624936
2016_1114_1338,0.05808112217574839
2016_1114_1344,0.2214288745013265
2016_1114_1345,0.1927992808572522
2016_1114_1355,0.4325880920749202
2016_1114_1371,0.24481014791289035
2016_1114_1372,0.3741240316997018
2016_1114_1380,0.7492363769649525
2016_1114_1386,0.2425598241615496
2016_1114_1392,0.4068115964324005
2016_1114_1393,0.06541577108934714
2016_1114_1396,0.16878859772163815
2016_1114_1400,0.11198006901020291
2016_1114_1401,0.15359509497063656
2016_1114_1403,0.2712504268819169
2016_1114_1409,0.2521668438028797
2016_1114_1421,0.6093134670004703
2016_1114_1423,0.49170207591643916
2016_1114_1425,0.22269615295042972
2016_1114_1428,0.20473069145273476
